frasa,frekuensi,lintang,bujur
pantai parangkusumo,35,-8.022769,110.324995
tugu jogja,37,-7.782922,110.367076
candi prambanan,38,-7.752021,110.491467
pantai glagah,39,-7.911943,110.064734
ullen sentalu,44,-7.598216,110.422847
pantai depok,47,-8.013709,110.291478
museum sonobudoyo,59,-7.802395,110.363947
waduk sermo,72,-7.822714,110.108505
bukit bintang,133,-7.845841,110.479846
pantai parangtritis,169,-8.024608,110.329804
gunung merapi,337,-7.540716,110.445723
malioboro,380,-7.792646,110.365871
