no,dtw,lintang,bujur,wadmkd,total
142,Gardu Pandang Kaliurang,-7.593007,110.424993,Hargobinangun,34053
143,Agrowisata Bhumi Merapi,-7.640047,110.426404,Hargobinangun,42601
144,Teras Merapi,-7.587682,110.455903,Glagaharjo,30987
145,Bukit Klangon,-7.576885,110.454845,Glagaharjo,30826
146,Ledok Sambi,-7.647081,110.428115,Pakembinangun,168026
147,Merapi Garden,-7.603963,110.437833,Umbulharjo,2407
148,"TNGM (Kalikuning Park, Tlogo Muncar, Pluyon)",-7.604915,110.435155,Umbulharjo,101414
149,Watu Jagal,-7.707303,110.270278,Banyurejo,601
150,Batu Alien,-7.602323,110.455299,Kepuharjo,114751
151,Volcano Tour,-7.59051,110.442487,Umbulharjo,185015
152,Candi Kraton Ratu Boko,-7.770535,110.489446,Bokoharjo,129945
153,Kedulan,-7.742548,110.469705,Tirtomartani,30
154,Museum Geoteknologi UPN,-7.781693,110.414645,Caturtunggal,3881
155,Museum Ulen Sentalu,-7.598216,110.422847,Hargobinangun,80128
156,Museum Pendidikan Indonesia UNY,-7.7748,110.387224,Caturtunggal,33822
157,Museum UGM,-7.774045,110.377937,Hargobinangun,4385
158,Museum Gempa Prof. Dr. Sarwidi,-7.598574,110.430475,Hargobinangun,1188
159,Museum Pancasila,-7.754812,110.388014,Condong Catur,241291
160,Museum Air Jogjabay,-7.748407,110.418377,Maguwoharjo,51174
161,Museum Serat Holistik,-7.7022,110.386416,Donoharjo,330
162,Museum Mini Sisa Hartaku,-7.600528,110.449103,Kepuharjo,116650
163,Museum Karbol,-7.796004,110.435571,Sendangtirto,0
164,Museum Anak Bajang/Omah Petruk,-7.621832,110.41534,Hargobinangun,3318
165,Museum Paleoantropologi,-7.770424,110.375392,Sinduadi,0
166,Museum Plataran,-7.714673,110.4635,Selomertani,13588
167,Museum Purbakala Taman Wisata Prambanan,-7.754621,110.489167,Bokoharjo,0
168,Taman Rekreasi Anak Kaliurang,-7.598497,110.426616,Hargobinangun,43884
169,The World Landmarks Merapi Park,-7.620894,110.421672,Hargobinangun,116517
170,Taman Pelangi Jogja,-7.750292,110.369491,Sariharjo,23679
171,Citra Grand Mutiara Waterpark,-7.813721,110.283212,Balecatur,56338
172,Jogja Mini Zoo Exotarium,-7.728865,110.35849,Sendangdadi,105867
173,Suraloka Zoo,-7.60757,110.421597,Hargobinangun,261300
174,Satoloka,-7.623397,110.425151,Hargobinangun,1126
175,Obelix Village,-7.687818,110.373647,Pandowoharjo,241291
176,Kebon Ndeso Wonorejo,-7.634599,110.356677,Sariharjo,3638
177,Agrowisata Turi,-7.634599,110.356686,Bangun Kerto,651
178,Batu Berdikari,-7.612608,110.452298,Batur,741
179,Bedog Ilir,-7.779551,110.328209,Banyuraden,2835
180,Beteng,-7.706145,110.350987,Tridadi,273
181,Bromonilan,-7.744354,110.448556,Purwomartani,19123
182,Buah Manis,-7.719141,110.474764,Selomertani,709
183,Bukit Teletubies,-7.817981,110.511868,Wukirharjo,4361
184,Bulak Salak,-7.636971,110.452278,Wukirsari,2570
185,Cibuk Kidul,-7.751306,110.308559,Margoluwih,21756
186,Dewi Flory Plaosan,-7.721837,110.348815,Tlogoadi,3996
187,Dewi Pinang,-7.648972,110.384249,Turi,709
188,Dewi Rawe,-7.751471,110.335306,Tirtoadi,85
189,Diro,-7.735886,110.232469,Sendangmulyo,108
190,Ekowisata Nologaten,-7.775079,110.398664,Caturtunggal,2880
191,Eksotika Krasak Jolontoro (Sempu),-7.613989,110.374015,Wono Kerto,325
192,Gamplong,-7.809642,110.234834,Sumberrahayu,2999
193,Gabugan,-7.665021,110.377821,Donokerto,1636
194,Gamol,-7.802827,110.2944,Balecatur,710
195,Green Kayen,-7.736752,110.385276,Condong Catur,4425
196,Grojokan Watu Purbo,-7.630709,110.34081,Merdikorejo,71396
197,Huntap Pagerjurang,-7.62909,110.446767,Kepuharjo,0
198,Kadisobo II,-7.669608,110.362921,Trimulyo,2176
199,Kali Opak 7 Bulan,-7.725695,110.48381,Tamanmanrtani,31183
200,Kalkun Sempu,-7.738742,110.443498,Wedomertani,305
201,Kampung Nglarang,-7.773865,110.329475,Sidoarum,9215
202,Kampung Satwa,-7.783392,110.257921,Sumberagung,1568
203,Karang Tanjung,-7.706558,110.368888,Pandowoharjo,1008
204,Kelor,-7.642792,110.359944,Bangun Kerto,9974
205,Kembangarum,-7.656082,110.377199,Donokerto,8056
206,Kerajinan Bambu Brajan,-7.731617,110.234753,Sendangagung,8719
207,Ketingan,-7.742562,110.329406,Tirtoadi,483
208,Klegung,-7.657827,110.367382,Donokerto,2363
209,Ledok Blotan,-7.737543,110.415618,Wedomertani,619
210,Ledoknongko,-7.646105,110.357142,Bangun Kerto,806
211,Lembah Sempor,-7.667073,110.374089,Donokerto,1650
212,Mlangi,-7.76337,110.337592,Nogotirto,66729
213,Mina Wisata Bokesan,-7.75459,110.313241,Margoluwih,1200
214,Nawung,-7.816836,110.540912,Gayamharjo,889
215,Nganggring,-7.603088,110.39793,Girikerto,2528
216,Ngembesan (Goa Lawa),-7.610024,110.391025,Wono Kerto,300
